Product code,Station Number,Year,MONTHS,RAINFALL(MM)
IDCJAC0001,23034,1981,January,20.2
IDCJAC0001,23034,1982,January,22.6
IDCJAC0001,23034,1983,January,11.6
IDCJAC0001,23034,1984,January,17.8
IDCJAC0001,23034,1985,January,1.2
IDCJAC0001,23034,1986,January,11.2
IDCJAC0001,23034,1987,January,19.6
IDCJAC0001,23034,1988,January,24.6
IDCJAC0001,23034,1989,January,2.4
IDCJAC0001,23034,1990,January,10.4
IDCJAC0001,23034,1991,January,23
IDCJAC0001,23034,1992,January,0.6
IDCJAC0001,23034,1993,January,31.2
IDCJAC0001,23034,1994,January,28.6
IDCJAC0001,23034,1995,January,15
IDCJAC0001,23034,1996,January,41
IDCJAC0001,23034,1997,January,46.4
IDCJAC0001,23034,1998,January,7
IDCJAC0001,23034,1999,January,17.2
IDCJAC0001,23034,2000,January,3
IDCJAC0001,23034,2001,January,2
IDCJAC0001,23034,2002,January,16.2
IDCJAC0001,23034,2003,January,23.4
IDCJAC0001,23034,2004,January,9.6
IDCJAC0001,23034,2005,January,19.4
IDCJAC0001,23034,2006,January,20.8
IDCJAC0001,23034,2007,January,38
IDCJAC0001,23034,2008,January,10.8
IDCJAC0001,23034,2009,January,0
IDCJAC0001,23034,2010,January,11
IDCJAC0001,23034,2011,January,16.2
IDCJAC0001,23034,2012,January,11.4
IDCJAC0001,23034,2013,January,11.4
IDCJAC0001,23034,2014,January,13
IDCJAC0001,23034,2015,January,30
IDCJAC0001,23034,2016,January,35.6
IDCJAC0001,23034,2017,January,39.4
IDCJAC0001,23034,2018,January,8.8
IDCJAC0001,23034,2019,January,0.2
IDCJAC0001,23034,2020,January,17.8
IDCJAC0001,23034,1981,February,3.2
IDCJAC0001,23034,1982,February,5.8
IDCJAC0001,23034,1983,February,2
IDCJAC0001,23034,1984,February,2
IDCJAC0001,23034,1985,February,2
IDCJAC0001,23034,1986,February,0.6
IDCJAC0001,23034,1987,February,40.8
IDCJAC0001,23034,1988,February,12
IDCJAC0001,23034,1989,February,1.8
IDCJAC0001,23034,1990,February,8.2
IDCJAC0001,23034,1991,February,0
IDCJAC0001,23034,1992,February,12.2
IDCJAC0001,23034,1993,February,14.8
IDCJAC0001,23034,1994,February,18.4
IDCJAC0001,23034,1995,February,25.2
IDCJAC0001,23034,1996,February,19.6
IDCJAC0001,23034,1997,February,25.6
IDCJAC0001,23034,1998,February,20.4
IDCJAC0001,23034,1999,February,2
IDCJAC0001,23034,2000,February,57
IDCJAC0001,23034,2001,February,10.8
IDCJAC0001,23034,2002,February,0.4
IDCJAC0001,23034,2003,February,59.4
IDCJAC0001,23034,2004,February,4
IDCJAC0001,23034,2005,February,12.2
IDCJAC0001,23034,2006,February,25.8
IDCJAC0001,23034,2007,February,1
IDCJAC0001,23034,2008,February,2.8
IDCJAC0001,23034,2009,February,0.2
IDCJAC0001,23034,2010,February,3.2
IDCJAC0001,23034,2011,February,38.4
IDCJAC0001,23034,2012,February,16.4
IDCJAC0001,23034,2013,February,16
IDCJAC0001,23034,2014,February,81
IDCJAC0001,23034,2015,February,0
IDCJAC0001,23034,2016,February,14.8
IDCJAC0001,23034,2017,February,32.4
IDCJAC0001,23034,2018,February,2.8
IDCJAC0001,23034,2019,February,6.4
IDCJAC0001,23034,2020,February,32.8
IDCJAC0001,23034,1981,March,42.2
IDCJAC0001,23034,1982,March,46.8
IDCJAC0001,23034,1983,March,112.2
IDCJAC0001,23034,1984,March,23.6
IDCJAC0001,23034,1985,March,39.4
IDCJAC0001,23034,1986,March,0.2
IDCJAC0001,23034,1987,March,25
IDCJAC0001,23034,1988,March,23.8
IDCJAC0001,23034,1989,March,1.8
IDCJAC0001,23034,1990,March,1.2
IDCJAC0001,23034,1991,March,4.4
IDCJAC0001,23034,1992,March,63
IDCJAC0001,23034,1993,March,18.4
IDCJAC0001,23034,1994,March,0
IDCJAC0001,23034,1995,March,15
IDCJAC0001,23034,1996,March,18.8
IDCJAC0001,23034,1997,March,4.2
IDCJAC0001,23034,1998,March,8.8
IDCJAC0001,23034,1999,March,53.6
IDCJAC0001,23034,2000,March,26.6
IDCJAC0001,23034,2001,March,29.6
IDCJAC0001,23034,2002,March,10.2
IDCJAC0001,23034,2003,March,7.2
IDCJAC0001,23034,2004,March,21.4
IDCJAC0001,23034,2005,March,17.2
IDCJAC0001,23034,2006,March,13.4
IDCJAC0001,23034,2007,March,18.8
IDCJAC0001,23034,2008,March,11.6
IDCJAC0001,23034,2009,March,18.6
IDCJAC0001,23034,2010,March,19.8
IDCJAC0001,23034,2011,March,75.4
IDCJAC0001,23034,2012,March,55.6
IDCJAC0001,23034,2013,March,8
IDCJAC0001,23034,2014,March,22.6
IDCJAC0001,23034,2015,March,2.6
IDCJAC0001,23034,2016,March,41.6
IDCJAC0001,23034,2017,March,6.6
IDCJAC0001,23034,2018,March,5.8
IDCJAC0001,23034,2019,March,9
IDCJAC0001,23034,2020,March,4.8
IDCJAC0001,23034,1981,April,1.6
IDCJAC0001,23034,1982,April,56.4
IDCJAC0001,23034,1983,April,80.4
IDCJAC0001,23034,1984,April,20.4
IDCJAC0001,23034,1985,April,28.4
IDCJAC0001,23034,1986,April,42.6
