Product code,Station Number,Year,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,SEASON,RAINFALL(mm),SUMMER,AUTUMN,WINTER,SPRING
IDCJAC0001,23034,1981,14.6,20.2,3.2,42.2,1.6,46.8,137.8,95.8,82,29,33.6,30.4,SUMMER,38,38,90.6,315.6,93
IDCJAC0001,23034,1982,8,22.6,5.8,46.8,56.4,38.6,41.6,18.2,17.2,20,10,1,SUMMER,36.4,36.4,141.8,77,31
IDCJAC0001,23034,1983,12.6,11.6,2,112.2,80.4,45.4,26.8,89.4,77.6,61.2,48.8,8.2,SUMMER,26.2,26.2,238,193.8,118.2
IDCJAC0001,23034,1984,5.4,17.8,2,23.6,20.4,39.6,31,67.2,79.8,46.4,22,34.6,SUMMER,25.2,25.2,83.6,178,103
IDCJAC0001,23034,1985,30.4,1.2,2,39.4,28.4,58.4,37,34.4,62.8,37.4,37.8,9.6,SUMMER,33.6,33.6,126.2,134.2,84.8
IDCJAC0001,23034,1986,28,11.2,0.6,0.2,42.6,44.2,35.2,116.4,85.2,51.2,50.8,15,SUMMER,39.8,39.8,87,236.8,117
IDCJAC0001,23034,1987,35,19.6,40.8,25,16.2,110,68.6,112.2,23.2,15,42,2.8,SUMMER,95.4,95.4,151.2,204,59.8
IDCJAC0001,23034,1988,47.6,24.6,12,23.8,12,68.4,81.6,55.6,33,46,10.8,26.2,SUMMER,84.2,84.2,104.2,170.2,83
IDCJAC0001,23034,1989,9.2,2.4,1.8,1.8,30.4,87.2,65,69.8,49,36.2,29.4,21.2,SUMMER,13.4,13.4,119.4,183.8,86.8
IDCJAC0001,23034,1990,40.4,10.4,8.2,1.2,7.8,8.8,69.8,89.8,66.4,38.4,28.4,5.6,SUMMER,59,59,17.8,226,72.4
IDCJAC0001,23034,1991,5.6,23,0,4.4,28,13,95.6,68.2,59.4,69,6.8,24.6,SUMMER,28.6,28.6,45.4,223.2,100.4
IDCJAC0001,23034,1992,90.4,0.6,12.2,63,38.8,67.6,57.2,42.8,103.8,113.6,74.8,66,SUMMER,103.2,103.2,169.4,203.8,254.4
IDCJAC0001,23034,1993,89.8,31.2,14.8,18.4,0.8,40.2,35.2,54.2,43.8,60.4,77.2,23.6,SUMMER,135.8,135.8,59.4,133.2,161.2
IDCJAC0001,23034,1994,9.8,28.6,18.4,0,8.4,32.8,73.2,42.6,14.6,21.4,49.8,27,SUMMER,56.8,56.8,41.2,130.4,98.2
IDCJAC0001,23034,1995,7.8,15,25.2,15,57.2,61.2,47,103.2,26.6,36.4,19,6.8,SUMMER,48,48,133.4,176.8,62.2
IDCJAC0001,23034,1996,14.2,41,19.6,18.8,24.6,11.4,91.8,82.6,87.2,65.8,19,1.8,SUMMER,74.8,74.8,54.8,261.6,86.6
IDCJAC0001,23034,1997,18.2,46.4,25.6,4.2,5.2,55,30.2,18.4,79,72.6,69.4,44.4,SUMMER,90.2,90.2,64.4,127.6,186.4
IDCJAC0001,23034,1998,11.6,7,20.4,8.8,95.2,26.2,74.4,44.8,44.6,49.4,43.8,24.4,SUMMER,39,39,130.2,163.8,117.6
IDCJAC0001,23034,1999,32.8,17.2,2,53.6,8.4,61,70,51.2,20.4,57.4,57,35.2,SUMMER,52,52,123,141.6,149.6
IDCJAC0001,23034,2000,11.8,3,57,26.6,52.4,54.8,74.8,45.8,50.6,59,66.6,11.6,SUMMER,71.8,71.8,133.8,171.2,137.2
IDCJAC0001,23034,2001,12,2,10.8,29.6,17.6,78,80.6,39.4,63.8,96.6,64,40.4,SUMMER,24.8,24.8,125.2,183.8,201
IDCJAC0001,23034,2002,6,16.2,0.4,10.2,7.6,65,45,70.6,21.4,29.6,15.8,35.2,SUMMER,22.6,22.6,82.8,137,80.6
IDCJAC0001,23034,2003,15.6,23.4,59.4,7.2,19,66.4,100.8,27.8,55.2,30.2,44.6,7.2,SUMMER,98.4,98.4,92.6,183.8,82
IDCJAC0001,23034,2004,38.6,9.6,4,21.4,16,43,83.3,52.6,67.2,46.8,8.2,35.6,SUMMER,52.2,52.2,80.4,203.1,90.6
IDCJAC0001,23034,2005,30.4,19.4,12.2,17.2,4,5.2,94.2,31.2,60,63.2,85.2,51.2,SUMMER,62,62,26.4,185.4,199.6
IDCJAC0001,23034,2006,19.4,20.8,25.8,13.4,34.2,30,11.6,24,8.6,26,0.6,20.2,SUMMER,66,66,77.6,44.2,46.8
IDCJAC0001,23034,2007,36,38,1,18.8,75,35.4,42,47.2,16.8,20.6,23.2,32.6,SUMMER,75,75,129.2,106,76.4
IDCJAC0001,23034,2008,31.4,10.8,2.8,11.6,29,43.4,24.4,39,71.2,12.2,3,13.2,SUMMER,45,45,84,134.6,28.4
IDCJAC0001,23034,2009,14.8,0,0.2,18.6,51.2,51.6,39,67.8,33.2,51.4,20.4,32.2,SUMMER,15,15,121.4,140,104
IDCJAC0001,23034,2010,38.2,11,3.2,19.8,63.4,60.2,61,46.8,77.2,57.8,34.2,18.8,SUMMER,52.4,52.4,143.4,185,110.8
IDCJAC0001,23034,2011,25.4,16.2,38.4,75.4,17.6,36.8,31.2,55,60.2,40.2,30.2,17.6,SUMMER,80,80,129.8,146.4,88
IDCJAC0001,23034,2012,7.2,11.4,16.4,55.6,27.2,53.4,114.6,30.8,52.6,18.2,14.4,13,SUMMER,35,35,136.2,198,45.6
IDCJAC0001,23034,2013,9.8,11.4,16,8,31.2,60,77.8,96.6,64,37.2,15.4,4.8,SUMMER,37.2,37.2,99.2,238.4,57.4
IDCJAC0001,23034,2014,4.8,13,81,22.6,31.2,62.4,69.6,72.8,null,21.8,5.4,27.4,SUMMER,98.8,98.8,116.2,142.4,54.6
IDCJAC0001,23034,2015,7.8,30,0,2.6,50,52.6,18.6,42.2,36.4,15.6,5.6,14.6,SUMMER,37.8,37.8,105.2,97.2,35.8
IDCJAC0001,23034,2016,75.8,35.6,14.8,41.6,8,64.2,72,95.4,49,102.2,59.6,30.2,SUMMER,126.2,126.2,113.8,216.4,192
IDCJAC0001,23034,2017,31.6,39.4,32.4,6.6,24.8,27.8,10.6,75.2,82.2,48.4,26,9.4,SUMMER,103.4,103.4,59.2,168,83.8
IDCJAC0001,23034,2018,21,8.8,2.8,5.8,14.6,29.4,33.8,43.6,71.2,20.8,13,34.8,SUMMER,32.6,32.6,49.8,148.6,68.6
IDCJAC0001,23034,2019,3.4,0.2,6.4,9,4.2,75,83.4,36.6,33.8,37.4,15.4,18.2,SUMMER,10,10,88.2,153.8,71
IDCJAC0001,23034,2020,17,17.8,32.8,4.8,88.2,40.8,48,15.2,34,42.2,41.4,10.8,SUMMER,67.6,67.6,133.8,97.2,94.4
,,,,,,,,,,,,,,,AUTUMN,90.6,,,,
,,,,,,,,,,,,,,,AUTUMN,141.8,,,,
,,,,,,,,,,,,,,,AUTUMN,238,,,,
,,,,,,,,,,,,,,,AUTUMN,83.6,,,,
,,,,,,,,,,,,,,,AUTUMN,126.2,,,,
,,,,,,,,,,,,,,,AUTUMN,87,,,,
,,,,,,,,,,,,,,,AUTUMN,151.2,,,,
,,,,,,,,,,,,,,,AUTUMN,104.2,,,,
,,,,,,,,,,,,,,,AUTUMN,119.4,,,,
,,,,,,,,,,,,,,,AUTUMN,17.8,,,,
,,,,,,,,,,,,,,,AUTUMN,45.4,,,,
,,,,,,,,,,,,,,,AUTUMN,169.4,,,,
,,,,,,,,,,,,,,,AUTUMN,59.4,,,,
,,,,,,,,,,,,,,,AUTUMN,41.2,,,,
,,,,,,,,,,,,,,,AUTUMN,133.4,,,,
,,,,,,,,,,,,,,,AUTUMN,54.8,,,,
,,,,,,,,,,,,,,,AUTUMN,64.4,,,,
,,,,,,,,,,,,,,,AUTUMN,130.2,,,,
,,,,,,,,,,,,,,,AUTUMN,123,,,,
,,,,,,,,,,,,,,,AUTUMN,133.8,,,,
,,,,,,,,,,,,,,,AUTUMN,125.2,,,,
,,,,,,,,,,,,,,,AUTUMN,82.8,,,,
