Product code,Station Number,Year,MONTHS,RAINFALL(mm)
IDCJAC0001,23090,1981,January,22.4
IDCJAC0001,23090,1982,January,21
IDCJAC0001,23090,1983,January,13
IDCJAC0001,23090,1984,January,31
IDCJAC0001,23090,1985,January,3.6
IDCJAC0001,23090,1986,January,8.2
IDCJAC0001,23090,1987,January,28.8
IDCJAC0001,23090,1988,January,27.2
IDCJAC0001,23090,1989,January,0.8
IDCJAC0001,23090,1990,January,27
IDCJAC0001,23090,1991,January,17.6
IDCJAC0001,23090,1992,January,0.4
IDCJAC0001,23090,1993,January,33.8
IDCJAC0001,23090,1994,January,39
IDCJAC0001,23090,1995,January,25
IDCJAC0001,23090,1996,January,42.2
IDCJAC0001,23090,1997,January,36
IDCJAC0001,23090,1998,January,6
IDCJAC0001,23090,1999,January,11.4
IDCJAC0001,23090,2000,January,3.6
IDCJAC0001,23090,2001,January,19.6
IDCJAC0001,23090,2002,January,20.6
IDCJAC0001,23090,2003,January,23.2
IDCJAC0001,23090,2004,January,9.8
IDCJAC0001,23090,2005,January,37
IDCJAC0001,23090,2006,January,22.4
IDCJAC0001,23090,2007,January,40.2
IDCJAC0001,23090,2008,January,9
IDCJAC0001,23090,2009,January,1.2
IDCJAC0001,23090,2010,January,9.2
IDCJAC0001,23090,2011,January,17.4
IDCJAC0001,23090,2012,January,18
IDCJAC0001,23090,2013,January,11.6
IDCJAC0001,23090,2014,January,10.2
IDCJAC0001,23090,2015,January,41.6
IDCJAC0001,23090,2016,January,52.8
IDCJAC0001,23090,2017,January,47.2
IDCJAC0001,23090,2018,January,7.2
IDCJAC0001,23090,2019,January,0
IDCJAC0001,23090,2020,January,22.2
IDCJAC0001,23090,1981,February,4.4
IDCJAC0001,23090,1982,February,8.4
IDCJAC0001,23090,1983,February,1.2
IDCJAC0001,23090,1984,February,2.6
IDCJAC0001,23090,1985,February,1
IDCJAC0001,23090,1986,February,1.4
IDCJAC0001,23090,1987,February,25.2
IDCJAC0001,23090,1988,February,18.8
IDCJAC0001,23090,1989,February,5.4
IDCJAC0001,23090,1990,February,6
IDCJAC0001,23090,1991,February,0
IDCJAC0001,23090,1992,February,10.8
IDCJAC0001,23090,1993,February,26.6
IDCJAC0001,23090,1994,February,12.8
IDCJAC0001,23090,1995,February,25.6
IDCJAC0001,23090,1996,February,16
IDCJAC0001,23090,1997,February,29
IDCJAC0001,23090,1998,February,27.8
IDCJAC0001,23090,1999,February,1.8
IDCJAC0001,23090,2000,February,44.4
IDCJAC0001,23090,2001,February,10.4
IDCJAC0001,23090,2002,February,0
IDCJAC0001,23090,2003,February,63
IDCJAC0001,23090,2004,February,5.2
IDCJAC0001,23090,2005,February,10.4
IDCJAC0001,23090,2006,February,15.6
IDCJAC0001,23090,2007,February,0
IDCJAC0001,23090,2008,February,3
IDCJAC0001,23090,2009,February,0.8
IDCJAC0001,23090,2010,February,5.6
IDCJAC0001,23090,2011,February,43.2
IDCJAC0001,23090,2012,February,25
IDCJAC0001,23090,2013,February,11.8
IDCJAC0001,23090,2014,February,98.2
IDCJAC0001,23090,2015,February,0.6
IDCJAC0001,23090,2016,February,18.4
IDCJAC0001,23090,2017,February,33.4
IDCJAC0001,23090,2018,February,5.8
IDCJAC0001,23090,2019,February,9
IDCJAC0001,23090,2020,February,44.4
IDCJAC0001,23090,1981,March,63
IDCJAC0001,23090,1982,March,42.6
IDCJAC0001,23090,1983,March,106
IDCJAC0001,23090,1984,March,29.4
IDCJAC0001,23090,1985,March,52.6
IDCJAC0001,23090,1986,March,1.8
IDCJAC0001,23090,1987,March,23.2
IDCJAC0001,23090,1988,March,22.8
IDCJAC0001,23090,1989,March,1.2
IDCJAC0001,23090,1990,March,1
IDCJAC0001,23090,1991,March,4.4
IDCJAC0001,23090,1992,March,74.8
IDCJAC0001,23090,1993,March,17.4
IDCJAC0001,23090,1994,March,0
IDCJAC0001,23090,1995,March,11.8
IDCJAC0001,23090,1996,March,22.4
IDCJAC0001,23090,1997,March,8.6
IDCJAC0001,23090,1998,March,9.4
IDCJAC0001,23090,1999,March,59
IDCJAC0001,23090,2000,March,35.6
IDCJAC0001,23090,2001,March,49
IDCJAC0001,23090,2002,March,12.2
IDCJAC0001,23090,2003,March,10.2
IDCJAC0001,23090,2004,March,24.2
IDCJAC0001,23090,2005,March,11.6
IDCJAC0001,23090,2006,March,20.2
IDCJAC0001,23090,2007,March,24.6
IDCJAC0001,23090,2008,March,16.4
IDCJAC0001,23090,2009,March,21.4
IDCJAC0001,23090,2010,March,19
IDCJAC0001,23090,2011,March,78
IDCJAC0001,23090,2012,March,63.2
IDCJAC0001,23090,2013,March,19.6
IDCJAC0001,23090,2014,March,19
IDCJAC0001,23090,2015,March,2.8
IDCJAC0001,23090,2016,March,53.8
IDCJAC0001,23090,2017,March,39.4
IDCJAC0001,23090,2018,March,5.8
IDCJAC0001,23090,2019,March,8.2
IDCJAC0001,23090,2020,March,4.6
IDCJAC0001,23090,1981,April,0.8
IDCJAC0001,23090,1982,April,66.6
IDCJAC0001,23090,1983,April,105.2
IDCJAC0001,23090,1984,April,32.6
