Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,23090,1981,22.4,4.4,63,0.8,59.8,174.6,110.2,112.2,45.2,25,30,24.4,672
IDCJAC0001,23090,1982,21,8.4,42.6,66.6,51,54.8,31.6,26,28,15.4,1.2,10,356.6
IDCJAC0001,23090,1983,13,1.2,106,105.2,70.6,47.8,111.2,91.4,69.4,51.6,8.4,17.2,693
IDCJAC0001,23090,1984,31,2.6,29.4,32.6,51.6,31.2,81.6,109.2,63.4,25.2,53.2,7,518
IDCJAC0001,23090,1985,3.6,1,52.6,44.8,88.4,60.4,43.6,78.2,67.6,37.6,22.6,60.4,560.8
IDCJAC0001,23090,1986,8.2,1.4,1.8,62.6,44.8,37.4,159.8,107,69.8,69.2,10.2,32.8,605
IDCJAC0001,23090,1987,28.8,25.2,23.2,27.4,128,100.2,116.2,30.2,16,39,6.4,35.6,576.2
IDCJAC0001,23090,1988,27.2,18.8,22.8,12.2,117.8,97.4,62,35.2,53,19,37.8,42,545.2
IDCJAC0001,23090,1989,0.8,5.4,1.2,33.6,90.6,100.8,68.8,68.6,50.4,36.4,28.6,16.6,501.8
IDCJAC0001,23090,1990,27,6,1,12.2,15.4,89.4,104.6,92,43.8,32.8,12,45.6,481.8
IDCJAC0001,23090,1991,17.6,0,4.4,32.2,14,138.2,95.8,81.6,77.6,6.2,34.2,5.8,507.6
IDCJAC0001,23090,1992,0.4,10.8,74.8,43.8,77.8,76.8,65.6,129,151.4,75.8,107,70,883.2
IDCJAC0001,23090,1993,33.8,26.6,17.4,1.4,41.8,51.4,65.6,50.6,66,73.6,25.4,72.8,526.4
IDCJAC0001,23090,1994,39,12.8,0,11.6,30.6,87.6,40.4,21,31,50.6,38,8.8,371.4
IDCJAC0001,23090,1995,25,25.6,11.8,58.8,56.6,69.6,129.6,30.2,47.2,20.4,10.4,9,494.2
IDCJAC0001,23090,1996,42.2,16,22.4,35.6,15.2,119.8,115,105,83.8,28,1,15.4,599.4
IDCJAC0001,23090,1997,36,29,8.6,9.2,65.6,33,22.2,90.4,74.2,60.8,44.8,24.8,498.6
IDCJAC0001,23090,1998,6,27.8,9.4,105.6,29.4,83.2,65.4,55.4,54.8,66.6,30.6,11.8,546
IDCJAC0001,23090,1999,11.4,1.8,59,11.2,127.4,82.2,68.8,38.2,74.2,80.6,39.2,34.8,628.8
IDCJAC0001,23090,2000,3.6,44.4,35.6,88,89.2,80.8,68.8,60.2,67.8,82.4,9.6,13.4,643.8
IDCJAC0001,23090,2001,19.6,10.4,49,20,87.4,105,61.4,87.8,137.2,80.6,43.4,14.2,716
IDCJAC0001,23090,2002,20.6,0,12.2,10.8,62.8,60,83.6,26.6,39.4,22.4,31,9,378.4
IDCJAC0001,23090,2003,23.2,63,10.2,28,69.6,124.2,39.2,93.8,47,64.8,12,34.2,609.2
IDCJAC0001,23090,2004,9.8,5.2,24.2,18.8,62.8,125,75,94,58,10.6,64.8,32,580.2
IDCJAC0001,23090,2005,37,10.4,11.6,3.2,8.2,142,42.8,90.8,59.2,88.4,79.6,56.4,629.6
IDCJAC0001,23090,2006,22.4,15.6,20.2,52.4,48.8,12.4,36,11.4,32.6,1,18,16.8,287.6
IDCJAC0001,23090,2007,40.2,0,24.6,82.4,45,64.8,65.8,25.8,24,25.2,29.6,37.6,465
IDCJAC0001,23090,2008,9,3,16.4,45,63.4,30.4,72.2,84.8,16,8,13.8,40.4,402.4
IDCJAC0001,23090,2009,1.2,0.8,21.4,73.6,63,52,109,55.8,61.6,18.4,42.2,18.2,517.2
IDCJAC0001,23090,2010,9.2,5.6,19,49.6,56.8,65.8,59.8,115.2,72.2,29.2,23.2,87,592.6
IDCJAC0001,23090,2011,17.4,43.2,78,13.6,61.8,37.2,61.4,92.4,46.8,42.6,25.2,18.2,537.8
IDCJAC0001,23090,2012,18,25,63.2,27,62.4,126.4,66.2,68,21.8,20,17.6,11.6,527.2
IDCJAC0001,23090,2013,11.6,11.8,19.6,33.2,54.8,76.4,119.2,84.4,42.6,32.4,5.2,16.2,507.4
IDCJAC0001,23090,2014,10.2,98.2,19,50.6,64.4,104.2,99.6,20.8,31.4,5,24.4,6.4,534.2
IDCJAC0001,23090,2015,41.6,0.6,2.8,57.6,71.8,null,73.6,48.4,52.2,9,9.8,13,380.4
IDCJAC0001,23090,2016,52.8,18.4,53.8,9.6,88,95.2,112,58.8,131.2,81,33.2,86.8,820.8
IDCJAC0001,23090,2017,47.2,33.4,39.4,33.2,51.2,8.6,91.2,87.8,56,36.8,23.2,28.2,536.2
IDCJAC0001,23090,2018,7.2,5.8,5.8,22.2,67.8,54.8,67.8,82.6,23.2,21.8,48.6,19.8,427.4
IDCJAC0001,23090,2019,0,9,8.2,5.4,87.4,82.6,39.2,50.6,48.2,18.6,15.4,9.4,374
IDCJAC0001,23090,2020,22.2,44.4,4.6,94.2,53.4,71,21.4,35.8,57.6,50,13.8,18.8,487.2
