Product code,Station Number,Year,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,,SEASON,RAINFALL(mm),,SUMMER,AUTUMN,WINTER,SPRING
IDCJAC0001,23090,1981,24.4,22.4,4.4,63,0.8,59.8,174.6,110.2,112.2,45.2,25,30,,SUMMER,51.2,,51.2,123.6,397,100.2
IDCJAC0001,23090,1982,10,21,8.4,42.6,66.6,51,54.8,31.6,26,28,15.4,1.2,,SUMMER,39.4,,39.4,160.2,112.4,44.6
IDCJAC0001,23090,1983,17.2,13,1.2,106,105.2,70.6,47.8,111.2,91.4,69.4,51.6,8.4,,SUMMER,31.4,,31.4,281.8,250.4,129.4
IDCJAC0001,23090,1984,7,31,2.6,29.4,32.6,51.6,31.2,81.6,109.2,63.4,25.2,53.2,,SUMMER,40.6,,40.6,113.6,222,141.8
IDCJAC0001,23090,1985,60.4,3.6,1,52.6,44.8,88.4,60.4,43.6,78.2,67.6,37.6,22.6,,SUMMER,65,,65,185.8,182.2,127.8
IDCJAC0001,23090,1986,32.8,8.2,1.4,1.8,62.6,44.8,37.4,159.8,107,69.8,69.2,10.2,,SUMMER,42.4,,42.4,109.2,304.2,149.2
IDCJAC0001,23090,1987,35.6,28.8,25.2,23.2,27.4,128,100.2,116.2,30.2,16,39,6.4,,SUMMER,89.6,,89.6,178.6,246.6,61.4
IDCJAC0001,23090,1988,42,27.2,18.8,22.8,12.2,117.8,97.4,62,35.2,53,19,37.8,,SUMMER,88,,88,152.8,194.6,109.8
IDCJAC0001,23090,1989,16.6,0.8,5.4,1.2,33.6,90.6,100.8,68.8,68.6,50.4,36.4,28.6,,SUMMER,22.8,,22.8,125.4,238.2,115.4
IDCJAC0001,23090,1990,45.6,27,6,1,12.2,15.4,89.4,104.6,92,43.8,32.8,12,,SUMMER,78.6,,78.6,28.6,286,88.6
IDCJAC0001,23090,1991,5.8,17.6,0,4.4,32.2,14,138.2,95.8,81.6,77.6,6.2,34.2,,SUMMER,23.4,,23.4,50.6,315.6,118
IDCJAC0001,23090,1992,70,0.4,10.8,74.8,43.8,77.8,76.8,65.6,129,151.4,75.8,107,,SUMMER,81.2,,81.2,196.4,271.4,334.2
IDCJAC0001,23090,1993,72.8,33.8,26.6,17.4,1.4,41.8,51.4,65.6,50.6,66,73.6,25.4,,SUMMER,133.2,,133.2,60.6,167.6,165
IDCJAC0001,23090,1994,8.8,39,12.8,0,11.6,30.6,87.6,40.4,21,31,50.6,38,,SUMMER,60.6,,60.6,42.2,149,119.6
IDCJAC0001,23090,1995,9,25,25.6,11.8,58.8,56.6,69.6,129.6,30.2,47.2,20.4,10.4,,SUMMER,59.6,,59.6,127.2,229.4,78
IDCJAC0001,23090,1996,15.4,42.2,16,22.4,35.6,15.2,119.8,115,105,83.8,28,1,,SUMMER,73.6,,73.6,73.2,339.8,112.8
IDCJAC0001,23090,1997,24.8,36,29,8.6,9.2,65.6,33,22.2,90.4,74.2,60.8,44.8,,SUMMER,89.8,,89.8,83.4,145.6,179.8
IDCJAC0001,23090,1998,11.8,6,27.8,9.4,105.6,29.4,83.2,65.4,55.4,54.8,66.6,30.6,,SUMMER,45.6,,45.6,144.4,204,152
IDCJAC0001,23090,1999,34.8,11.4,1.8,59,11.2,127.4,82.2,68.8,38.2,74.2,80.6,39.2,,SUMMER,48,,48,197.6,189.2,194
IDCJAC0001,23090,2000,13.4,3.6,44.4,35.6,88,89.2,80.8,68.8,60.2,67.8,82.4,9.6,,SUMMER,61.4,,61.4,212.8,209.8,159.8
IDCJAC0001,23090,2001,14.2,19.6,10.4,49,20,87.4,105,61.4,87.8,137.2,80.6,43.4,,SUMMER,44.2,,44.2,156.4,254.2,261.2
IDCJAC0001,23090,2002,9,20.6,0,12.2,10.8,62.8,60,83.6,26.6,39.4,22.4,31,,SUMMER,29.6,,29.6,85.8,170.2,92.8
IDCJAC0001,23090,2003,34.2,23.2,63,10.2,28,69.6,124.2,39.2,93.8,47,64.8,12,,SUMMER,120.4,,120.4,107.8,257.2,123.8
IDCJAC0001,23090,2004,32,9.8,5.2,24.2,18.8,62.8,125,75,94,58,10.6,64.8,,SUMMER,47,,47,105.8,294,133.4
IDCJAC0001,23090,2005,56.4,37,10.4,11.6,3.2,8.2,142,42.8,90.8,59.2,88.4,79.6,,SUMMER,103.8,,103.8,23,275.6,227.2
IDCJAC0001,23090,2006,16.8,22.4,15.6,20.2,52.4,48.8,12.4,36,11.4,32.6,1,18,,SUMMER,54.8,,54.8,121.4,59.8,51.6
IDCJAC0001,23090,2007,37.6,40.2,0,24.6,82.4,45,64.8,65.8,25.8,24,25.2,29.6,,SUMMER,77.8,,77.8,152,156.4,78.8
IDCJAC0001,23090,2008,40.4,9,3,16.4,45,63.4,30.4,72.2,84.8,16,8,13.8,,SUMMER,52.4,,52.4,124.8,187.4,37.8
IDCJAC0001,23090,2009,18.2,1.2,0.8,21.4,73.6,63,52,109,55.8,61.6,18.4,42.2,,SUMMER,20.2,,20.2,158,216.8,122.2
IDCJAC0001,23090,2010,87,9.2,5.6,19,49.6,56.8,65.8,59.8,115.2,72.2,29.2,23.2,,SUMMER,101.8,,101.8,125.4,240.8,124.6
IDCJAC0001,23090,2011,18.2,17.4,43.2,78,13.6,61.8,37.2,61.4,92.4,46.8,42.6,25.2,,SUMMER,78.8,,78.8,153.4,191,114.6
IDCJAC0001,23090,2012,11.6,18,25,63.2,27,62.4,126.4,66.2,68,21.8,20,17.6,,SUMMER,54.6,,54.6,152.6,260.6,59.4
IDCJAC0001,23090,2013,16.2,11.6,11.8,19.6,33.2,54.8,76.4,119.2,84.4,42.6,32.4,5.2,,SUMMER,39.6,,39.6,107.6,280,80.2
IDCJAC0001,23090,2014,6.4,10.2,98.2,19,50.6,64.4,104.2,99.6,20.8,31.4,5,24.4,,SUMMER,114.8,,114.8,134,224.6,60.8
IDCJAC0001,23090,2015,13,41.6,0.6,2.8,57.6,71.8,null,73.6,48.4,52.2,9,9.8,,SUMMER,55.2,,55.2,132.2,122,71
IDCJAC0001,23090,2016,86.8,52.8,18.4,53.8,9.6,88,95.2,112,58.8,131.2,81,33.2,,SUMMER,158,,158,151.4,266,245.4
IDCJAC0001,23090,2017,28.2,47.2,33.4,39.4,33.2,51.2,8.6,91.2,87.8,56,36.8,23.2,,SUMMER,108.8,,108.8,123.8,187.6,116
IDCJAC0001,23090,2018,19.8,7.2,5.8,5.8,22.2,67.8,54.8,67.8,82.6,23.2,21.8,48.6,,SUMMER,32.8,,32.8,95.8,205.2,93.6
IDCJAC0001,23090,2019,9.4,0,9,8.2,5.4,87.4,82.6,39.2,50.6,48.2,18.6,15.4,,SUMMER,18.4,,18.4,101,172.4,82.2
IDCJAC0001,23090,2020,18.8,22.2,44.4,4.6,94.2,53.4,71,21.4,35.8,57.6,50,13.8,,SUMMER,85.4,,85.4,152.2,128.2,121.4
,,,,,,,,,,,,,,,,AUTUMN,123.6,,,,,
,,,,,,,,,,,,,,,,AUTUMN,160.2,,,,,
,,,,,,,,,,,,,,,,AUTUMN,281.8,,,,,
,,,,,,,,,,,,,,,,AUTUMN,113.6,,,,,
,,,,,,,,,,,,,,,,AUTUMN,185.8,,,,,
,,,,,,,,,,,,,,,,AUTUMN,109.2,,,,,
,,,,,,,,,,,,,,,,AUTUMN,178.6,,,,,
,,,,,,,,,,,,,,,,AUTUMN,152.8,,,,,
,,,,,,,,,,,,,,,,AUTUMN,125.4,,,,,
,,,,,,,,,,,,,,,,AUTUMN,28.6,,,,,
,,,,,,,,,,,,,,,,AUTUMN,50.6,,,,,
,,,,,,,,,,,,,,,,AUTUMN,196.4,,,,,
,,,,,,,,,,,,,,,,AUTUMN,60.6,,,,,
,,,,,,,,,,,,,,,,AUTUMN,42.2,,,,,
,,,,,,,,,,,,,,,,AUTUMN,127.2,,,,,
,,,,,,,,,,,,,,,,AUTUMN,73.2,,,,,
,,,,,,,,,,,,,,,,AUTUMN,83.4,,,,,
,,,,,,,,,,,,,,,,AUTUMN,144.4,,,,,
,,,,,,,,,,,,,,,,AUTUMN,197.6,,,,,
,,,,,,,,,,,,,,,,AUTUMN,212.8,,,,,
,,,,,,,,,,,,,,,,AUTUMN,156.4,,,,,
,,,,,,,,,,,,,,,,AUTUMN,85.8,,,,,
,,,,,,,,,,,,,,,,AUTUMN,107.8,,,,,
,,,,,,,,,,,,,,,,AUTUMN,105.8,,,,,
,,,,,,,,,,,,,,,,AUTUMN,23,,,,,
,,,,,,,,,,,,,,,,AUTUMN,121.4,,,,,
,,,,,,,,,,,,,,,,AUTUMN,152,,,,,
,,,,,,,,,,,,,,,,AUTUMN,124.8,,,,,
,,,,,,,,,,,,,,,,AUTUMN,158,,,,,
,,,,,,,,,,,,,,,,AUTUMN,125.4,,,,,
,,,,,,,,,,,,,,,,AUTUMN,153.4,,,,,
,,,,,,,,,,,,,,,,AUTUMN,152.6,,,,,
,,,,,,,,,,,,,,,,AUTUMN,107.6,,,,,
,,,,,,,,,,,,,,,,AUTUMN,134,,,,,
,,,,,,,,,,,,,,,,AUTUMN,132.2,,,,,
,,,,,,,,,,,,,,,,AUTUMN,151.4,,,,,
,,,,,,,,,,,,,,,,AUTUMN,123.8,,,,,
,,,,,,,,,,,,,,,,AUTUMN,95.8,,,,,
,,,,,,,,,,,,,,,,AUTUMN,101,,,,,
,,,,,,,,,,,,,,,,AUTUMN,152.2,,,,,
,,,,,,,,,,,,,,,,WINTER,397,,,,,
,,,,,,,,,,,,,,,,WINTER,112.4,,,,,
,,,,,,,,,,,,,,,,WINTER,250.4,,,,,
,,,,,,,,,,,,,,,,WINTER,222,,,,,
,,,,,,,,,,,,,,,,WINTER,182.2,,,,,
,,,,,,,,,,,,,,,,WINTER,304.2,,,,,
,,,,,,,,,,,,,,,,WINTER,246.6,,,,,
,,,,,,,,,,,,,,,,WINTER,194.6,,,,,
,,,,,,,,,,,,,,,,WINTER,238.2,,,,,
,,,,,,,,,,,,,,,,WINTER,286,,,,,
,,,,,,,,,,,,,,,,WINTER,315.6,,,,,
,,,,,,,,,,,,,,,,WINTER,271.4,,,,,
,,,,,,,,,,,,,,,,WINTER,167.6,,,,,
,,,,,,,,,,,,,,,,WINTER,149,,,,,
,,,,,,,,,,,,,,,,WINTER,229.4,,,,,
,,,,,,,,,,,,,,,,WINTER,339.8,,,,,
,,,,,,,,,,,,,,,,WINTER,145.6,,,,,
,,,,,,,,,,,,,,,,WINTER,204,,,,,
,,,,,,,,,,,,,,,,WINTER,189.2,,,,,
,,,,,,,,,,,,,,,,WINTER,209.8,,,,,
,,,,,,,,,,,,,,,,WINTER,254.2,,,,,
,,,,,,,,,,,,,,,,WINTER,170.2,,,,,
,,,,,,,,,,,,,,,,WINTER,257.2,,,,,
,,,,,,,,,,,,,,,,WINTER,294,,,,,
,,,,,,,,,,,,,,,,WINTER,275.6,,,,,
,,,,,,,,,,,,,,,,WINTER,59.8,,,,,
,,,,,,,,,,,,,,,,WINTER,156.4,,,,,
,,,,,,,,,,,,,,,,WINTER,187.4,,,,,
,,,,,,,,,,,,,,,,WINTER,216.8,,,,,
,,,,,,,,,,,,,,,,WINTER,240.8,,,,,
,,,,,,,,,,,,,,,,WINTER,191,,,,,
,,,,,,,,,,,,,,,,WINTER,260.6,,,,,
,,,,,,,,,,,,,,,,WINTER,280,,,,,
,,,,,,,,,,,,,,,,WINTER,224.6,,,,,
,,,,,,,,,,,,,,,,WINTER,122,,,,,
,,,,,,,,,,,,,,,,WINTER,266,,,,,
,,,,,,,,,,,,,,,,WINTER,187.6,,,,,
,,,,,,,,,,,,,,,,WINTER,205.2,,,,,
,,,,,,,,,,,,,,,,WINTER,172.4,,,,,
